Tiempo en segundos: 3.072302

Posiciones finales de los cuerpos:
Cuerpo 100: px=0.157453 py=0.395247 pz=0.599176
Cuerpo 101: px=0.118214 py=0.328670 pz=0.356754
Cuerpo 102: px=0.098048 py=0.296760 pz=0.087001
Cuerpo 103: px=0.101050 py=0.305573 pz=-0.189418
Cuerpo 104: px=0.126649 py=0.353503 pz=-0.451325
Cuerpo 105: px=0.170171 py=0.432560 pz=-0.678655
Cuerpo 106: px=0.226076 py=0.534259 pz=-0.853992
Cuerpo 107: px=0.290377 py=0.653076 pz=-0.963903
Cuerpo 108: px=0.360598 py=0.785413 pz=-0.999967
Cuerpo 109: px=0.434022 py=0.926113 pz=-0.959421
Cuerpo 110: px=0.505620 py=1.064855 pz=-0.845372
Cuerpo 111: px=0.568469 py=1.187374 pz=-0.666557
Cuerpo 112: px=0.615797 py=1.279728 pz=-0.436676
Cuerpo 113: px=0.642656 py=1.331727 pz=-0.173340
Cuerpo 114: px=0.256761 py=1.459722 pz=0.000000
Cuerpo 115: px=0.252531 py=1.435813 pz=0.274125
Cuerpo 116: px=0.238560 py=1.360786 pz=0.527250
Cuerpo 117: px=0.216628 py=1.244420 pz=0.739980
Cuerpo 118: px=0.189180 py=1.100321 pz=0.896019
Cuerpo 119: px=0.159075 py=0.944621 pz=0.983412
Cuerpo 120: px=0.128855 py=0.791988 pz=0.995464
Cuerpo 121: px=0.100005 py=0.651524 pz=0.931251
Cuerpo 122: px=0.073278 py=0.527766 pz=0.795693
Cuerpo 123: px=0.049811 py=0.425245 pz=0.599176
Cuerpo 124: px=0.031833 py=0.351363 pz=0.356754
Cuerpo 125: px=0.022279 py=0.315800 pz=0.087001
Cuerpo 126: px=0.023196 py=0.325161 pz=-0.189418
Cuerpo 127: px=0.034422 py=0.377677 pz=-0.451325
Cuerpo 128: px=0.053780 py=0.464602 pz=-0.678655
Cuerpo 129: px=0.078524 py=0.576547 pz=-0.853992
Cuerpo 130: px=0.106602 py=0.707311 pz=-0.963903
